id,distribution,duration,t2y,t5y,t10y,t25y,t50y,t100y,t200y,data_years,name,x_97,y_97,org
466880,LPT3,1,59.44973688,72.54610598,79.05993143,85.56705544,89.47326535,92.76130268,95.57014409,13,板橋,294616.63,2765584.46,中央氣象局
466880,LPT3,3,98.80140022,128.8919938,144.8977029,161.6489382,172.1101712,181.1799056,189.1406594,13,板橋,294616.63,2765584.46,中央氣象局
466880,LPT3,6,113.4802093,163.1734293,199.3013905,248.577677,287.9374395,329.5922499,373.8848244,13,板橋,294616.63,2765584.46,中央氣象局
466880,LPT3,12,142.9189274,214.7052124,273.4843798,362.2933472,440.2330383,529.3738375,631.572263,13,板橋,294616.63,2765584.46,中央氣象局
466880,LPT3,24,190.5046873,276.9496191,338.7844557,421.8357652,487.1905462,555.4861603,627.2031226,13,板橋,294616.63,2765584.46,中央氣象局
466880,LPT3,48,265.2540247,367.1333427,418.9396236,470.0913752,499.9837804,524.367049,544.4317809,13,板橋,294616.63,2765584.46,中央氣象局
466880,LPT3,72,297.4540397,394.9582695,436.4985904,471.1888089,488.1213115,499.8397489,507.8879902,13,板橋,294616.63,2765584.46,中央氣象局
466900,LN3,1,44.98725407,60.40051377,70.46415562,83.0431191,92.3352185,101.5758098,110.8392132,55,淡水,295251.6,2784117.77,中央氣象局
466900,LN3,3,82.51722621,112.0962546,131.7584294,156.658183,175.2544326,193.9005902,212.7330125,55,淡水,295251.6,2784117.77,中央氣象局
466900,LN3,6,117.593917,157.7384071,181.5297172,209.2539228,228.5602472,246.9284274,264.617422,55,淡水,295251.6,2784117.77,中央氣象局
466900,LN3,12,155.5050723,211.5062256,246.056566,287.5034028,317.0802162,345.7400411,373.8025599,55,淡水,295251.6,2784117.77,中央氣象局
466900,LN3,24,195.66978,273.3049975,325.0706752,390.7728378,439.9345625,489.2979997,539.2185685,55,淡水,295251.6,2784117.77,中央氣象局
466900,LN3,48,239.5002287,346.5482498,419.2897037,512.9001434,583.7607589,655.5349907,728.6955285,55,淡水,295251.6,2784117.77,中央氣象局
466900,LN3,72,262.2233477,383.1715699,468.2454914,580.5314467,667.3479894,756.6969138,849.0984042,55,淡水,295251.6,2784117.77,中央氣象局
466910,LN3,1,57.98786351,77.08946849,90.02542363,106.6313314,119.1754415,131.8614171,144.7740743,55,鞍部,303389.11,2786107.93,中央氣象局
466910,LN3,3,119.0196312,151.4661772,169.3357514,189.0930879,202.2535537,214.3654008,225.6832142,55,鞍部,303389.11,2786107.93,中央氣象局
466910,LN3,6,181.6805893,233.5506666,260.7415076,289.766746,308.532946,325.424148,340.8929715,55,鞍部,303389.11,2786107.93,中央氣象局
466910,LN3,12,275.1400758,368.9016225,422.0804944,482.1262819,522.8410545,560.8130309,596.725898,55,鞍部,303389.11,2786107.93,中央氣象局
466910,LN3,24,376.8006774,532.7984652,628.8190105,743.8125018,825.7567622,905.0762436,982.6678921,55,鞍部,303389.11,2786107.93,中央氣象局
466910,LN3,48,478.9373251,724.1051342,887.6973207,1095.442466,1250.957253,1407.162402,1565.178511,55,鞍部,303389.11,2786107.93,中央氣象局
466910,LN3,72,526.5483406,810.2337633,1016.783157,1296.411801,1517.249653,1748.193422,1990.51842,55,鞍部,303389.11,2786107.93,中央氣象局
466920,PT3,1,50.99231085,64.88358883,73.7275973,84.45542886,92.1373473,99.57470485,106.8348332,104,臺北,301958.59,2770052.1,中央氣象局
466920,PT3,3,87.27163419,111.6222814,126.855098,145.1339877,158.1164405,170.6152146,182.7581594,104,臺北,301958.59,2770052.1,中央氣象局
466920,PT3,6,108.7992771,145.7188811,170.9602799,202.9043405,226.5064236,249.8460012,273.0372919,104,臺北,301958.59,2770052.1,中央氣象局
466920,PT3,12,140.5298321,196.2548409,233.6616856,280.4982164,314.8353166,348.6139744,382.0327479,104,臺北,301958.59,2770052.1,中央氣象局
466920,PT3,24,177.2937407,251.4360596,300.116098,360.2736193,403.9530923,446.6434948,488.6497801,104,臺北,301958.59,2770052.1,中央氣象局
466920,PT3,48,215.5718793,302.5719591,359.1060067,428.5374358,478.7189993,527.6113961,575.5942626,104,臺北,301958.59,2770052.1,中央氣象局
466920,PT3,72,238.9889527,330.3409457,388.5814632,459.2871446,509.949774,559.0208207,606.9401331,104,臺北,301958.59,2770052.1,中央氣象局
466930,LPT3,1,53.69757074,70.13667598,81.32006204,95.82074014,106.9116863,118.2639334,129.9689394,55,竹子湖,304890.03,2783843.15,中央氣象局
466930,LPT3,3,115.7397792,148.6358483,166.7999219,186.5288168,199.3258478,210.787261,221.1812665,55,竹子湖,304890.03,2783843.15,中央氣象局
466930,LPT3,6,184.4052234,243.9758422,277.0910978,313.0714748,336.355601,357.138244,375.9040085,55,竹子湖,304890.03,2783843.15,中央氣象局
466930,LPT3,12,282.6984276,393.8475402,460.5749518,537.5790043,590.1811474,639.1677836,685.2063507,55,竹子湖,304890.03,2783843.15,中央氣象局
